,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mindfulness,Confidence,Motivation,Attentional focus,Arousal control,Resilience,,Knowledge,Self-awareness,Wellness,Deliberate practice,,Thinking,Feeling,Action
,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,,,,,,,,,,,,,,,,
,Name:,Email:,Age:,What sport do you play (primary sport if there are many)?,Highest level of participation:,It's hard for me to notice my thoughts.,I'm good at noticing my feelings and emotions.,I notice myself doing things without paying attention to them.,I can notice my thoughts without letting them affect how I feel.,It's hard for me notice my feelings without letting them control what I do.,I don't get very frustrated or upset when I make mistakes.,It's common that thoughts get stuck in my head.,"When I have strong feelings, they only last a short period of time.",I can boost my confidence when I need to.,I'm aware of the situations that challenge my confidence.,I'm confident in my skills and abilities as an athlete.,I'm confident I will achieve my goals.,I lose confidence after a disappointing performance.,I'm driven to learn and master new things.,I care a lot about what others think of me.,I do hard things even when I don't feel like it.,I know what situations challenge my motivation.,I'm aware of my strengths.,I'm aware of my weaknesses.,"I'm aware of how I typically think in different situations (i.e., my thinking patterns).","I'm aware of how I typically feel in different situations (i.e., my patterns of emotions)","I'm aware of how I typical act in different situations (i.e., my patterns of behaviour).",I have a clear idea of the values that shape who I am.,I know what I need to do to feel healthy.,I often reflect on my thoughts.,It's hard for me to stay focused under pressure.,I can direct my attention to the things I need to focus on.,It's hard for me to regain focus when I get distracted.,I know where my attention needs to be when I'm performing.,I can keep my attention on a task for the time it needs without getting too distracted.,I can energize myself up when I need a boost.,I can calm myself down when I need to.,I know what state I need to be in to perform at my best.,My performance is negatively affected by stress.,I can bounce back quickly when things go wrong.,I find ways to get better after I fail.,I struggle to maintain a positive mindset when things get tough.,I adapt well to change.,I understand how thoughts work and how they impact us.,"I understand what emotions are, how they work, and how they impact us.","I understand what habits are, how they work, and how they impact us.",I understand what's within and outside of people's control.,I understand what goes into living a healthy lifestyle.,I have a lot of motivation and desire to bring my best to practice.,I set specific goals for practice.,I consistently bring high levels of effort to practice.,I get a lot of good feedback in practice.,I generally feel good and healthy.,,,,,,,,,,,,,,,,
,A1,,19,Volleyball,Collegiate/University sport,6,6,3,6,4,4,2,5,5,6,6,7,6,7,5,6,5,5,6,6,5,6,6,6,6,5,6,5,6,5,5,6,6,5,6,6,5,6,6,6,6,6,6,7,6,7,6,6,,4.5,6.0,6.0,5.4,5.5,5.8,,6.0,5.8,6.0,6.5,,5.3,5.2,5.2
,A2,,17,Volleyball,National competition,4,5,4,5,5,2,5,4,5,6,6,7,4,7,3,6,7,6,6,5,4,5,6,5,4,7,5,5,7,4,7,5,6,5,6,7,6,5,6,6,6,5,6,7,7,7,6,6,,4.3,5.6,6.0,5.6,5.8,6.0,,5.8,5.2,5.7,6.8,,5.0,4.8,4.7
,A3,,18,Volleyball,National competition,3,5,3,4,2,3,2,5,4,6,6,5,3,6,3,5,7,6,6,6,6,5,7,7,6,4,5,2,6,5,5,5,7,3,5,5,3,5,5,5,6,6,6,6,6,6,4,6,,3.4,4.8,5.4,4.4,5.0,4.5,,5.6,6.1,6.3,5.5,,4.1,4.6,4.8
,A4,,18,Volleyball,National competition,4,5,4,3,4,3,1,5,4,7,5,6,5,7,1,6,7,7,6,6,6,6,6,6,7,6,5,3,5,3,4,5,2,6,6,3,5,3,7,3,6,6,6,7,2,6,6,6,,3.6,5.4,5.6,4.4,4.3,4.3,,5.6,6.3,6.0,5.3,,4.7,4.6,5.2
,A5,,19,Volleyball,National competition,4,7,3,3,4,4,1,6,7,5,6,7,3,5,1,5,6,7,6,5,5,6,6,6,4,6,5,2,7,4,5,6,5,3,7,7,4,6,5,7,6,6,6,6,5,7,7,7,,4.0,5.6,4.6,4.8,4.8,6.0,,6.0,5.6,6.3,6.3,,3.7,5.8,5.0
,A6,,18,Volleyball,International competition,5,6,3,5,4,4,2,3,6,6,6,6,2,7,5,5,6,6,6,4,5,4,6,5,3,5,5,5,5,4,7,3,4,4,6,6,6,6,5,6,4,6,5,7,5,7,5,6,,4.0,5.2,6.0,4.8,4.5,6.0,,5.2,5.0,5.3,6.0,,4.3,4.8,4.2
,A7,,19,Volleyball,National competition,4,4,4,5,6,4,5,6,5,6,7,7,5,6,5,6,5,5,5,6,6,6,6,6,3,7,6,5,6,5,5,6,6,4,6,6,6,6,6,5,6,6,6,7,5,6,6,6,,4.8,6.0,5.8,5.8,5.3,6.0,,5.8,5.4,6.0,6.0,,5.0,5.4,5.3
,A8,,19,Volleyball,Collegiate/University sport,6,6,3,5,6,5,3,5,3,6,6,6,5,6,2,6,6,7,6,5,5,6,7,7,7,3,6,6,6,6,5,6,7,3,6,7,5,6,7,6,6,6,7,7,5,6,6,7,,4.9,5.2,5.4,5.4,5.3,6.0,,6.4,6.2,7.0,6.0,,5.4,5.6,5.5
,A9,,19,Volleyball,Collegiate/University sport, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,
,A10,,18,Volleyball,Collegiate/University sport,7,6,3,5,6,5,6,6,5,7,6,7,5,7,4,6,6,7,5,6,6,6,6,7,5,7,6,6,7,6,6,6,6,6,7,7,6,7,7,7,7,5,7,7,6,6,5,7,,5.5,6.0,6.0,6.4,6.0,6.8,,6.6,6.1,7.0,6.0,,6.0,6.2,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A12,,24,Volleyball,International competition,6,6,6,6,3,3,2,3,5,6,6,6,4,6,4,5,6,6,6,6,6,6,5,6,6,6,6,4,6,5,6,4,6,6,4,6,6,4,6,5,6,6,6,6,5,7,4,6,,4.4,5.4,5.4,5.4,5.5,5.0,,5.8,5.9,6.0,5.5,,5.4,4.6,5.3
,A13,,22,Volleyball,International competition,4,5,4,5,4,5,5,6,5,6,6,5,5,6,6,6,6,6,4,6,6,6,7,6,4,6,5,6,6,6,5,6,6,5,6,6,6,6,4,5,6,6,6,6,6,6,6,6,,4.8,5.4,6.0,5.8,5.5,6.0,,5.4,5.7,6.0,6.0,,4.9,5.2,5.5
,A14,,21,Volleyball,International competition,4,5,4,4,5,5,3,4,6,4,7,6,5,7,2,5,4,4,5,5,5,4,6,6,5,6,4,4,6,5,6,4,6,2,5,6,5,5,4,4,4,5,4,6,3,6,7,6,,4.3,5.6,4.8,5.0,4.5,5.3,,4.2,4.9,5.3,5.5,,4.3,4.6,4.7
,A15,,29,Volleyball,International competition,4,4,4,5,6,6,4,4,6,5,7,7,6,6,6,6,5,7,6,4,4,5,5,7,5,7,6,7,6,6,6,6,6,7,6,7,6,7,5,5,6,6,6,7,7,7,6,7,,4.6,6.2,6.0,6.4,6.3,6.5,,5.6,5.3,6.7,6.8,,4.7,4.6,5.7
,A16,,22,Volleyball,International competition, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,
,A17,,32,Volleyball,International competition,5,5,4,5,3,3,2,5,6,5,6,6,3,7,2,6,6,6,6,6,6,6,7,6,6,6,6,4,6,6,6,5,6,3,5,6,3,5,5,6,6,6,6,7,6,7,5,7,,4.0,5.2,5.6,5.6,5.0,4.8,,5.8,6.0,6.3,6.3,,4.6,5.0,5.2
,A18,,23,Volleyball,International competition,5,5,3,5,5,4,4,6,5,6,6,6,3,6,3,5,5,6,6,6,6,6,5,6,6,5,5,4,6,5,5,5,6,2,5,5,5,6,6,6,6,6,6,6,6,6,5,6,,4.6,5.2,5.0,5.0,4.5,5.3,,6.0,5.9,6.0,5.8,,5.3,5.6,5.0
,A19,,21,Volleyball,International competition,6,6,3,5,6,5,2,3,5,6,5,6,6,6,5,6,6,6,6,6,7,6,7,6,7,4,6,3,6,6,6,5,6,4,5,6,5,5,6,6,5,6,6,6,3,5,5,6,,4.5,5.6,5.8,5.0,5.3,5.3,,5.8,6.3,6.0,4.8,,5.3,5.6,5.2
,A20,,30,Volleyball,International competition,5,5,5,5,6,3,6,6,4,6,6,6,2,5,3,6,5,6,5,5,5,6,6,6,5,3,6,4,4,5,4,5,5,3,6,7,6,7,5,5,6,7,7,6,5,7,7,6,,5.1,4.8,5.0,4.4,4.3,6.5,,6.0,5.6,6.3,6.3,,5.3,5.4,5.3
,A21,,23,Volleyball,International competition,6,6,5,3,2,2,3,3,3,6,6,6,3,6,3,6,6,6,6,4,6,6,6,6,4,6,6,5,6,6,5,4,6,3,3,6,2,5,6,6,6,6,6,6,5,6,4,6,,3.8,4.8,5.4,5.8,4.5,4.0,,6.0,5.6,6.0,5.3,,4.0,4.6,5.2
,A22,,29,Volleyball,International competition,7,7,6,7,6,4,2,5,6,7,7,7,6,6,2,6,6,7,6,7,7,6,7,7,7,6,6,6,7,6,5,6,7,4,7,7,6,5,7,7,6,6,7,7,6,6,5,6,,5.5,6.6,5.4,6.2,5.5,6.3,,6.6,6.8,6.7,6.0,,6.1,6.4,5.8
,A23,,26,Volleyball,International competition,6,6,4,5,5,4,5,5,6,6,6,7,6,7,4,7,7,7,4,6,6,5,6,7,6,4,6,5,6,5,5,3,6,3,4,6,5,4,5,5,6,6,7,7,4,6,6,7,,5.0,6.2,6.4,5.2,4.3,4.8,,5.8,5.9,7.0,5.8,,5.4,5.4,5.5
,A24,,24,Volleyball,International competition,2,6,1,5,4,2,1,4,3,6,5,7,1,6,1,7,6,6,6,6,7,7,5,7,4,7,7,3,7,4,4,7,7,6,7,6,2,6,4,7,6,6,7,7,5,7,4,6,,3.1,4.4,5.4,5.6,6.0,5.3,,6.0,6.0,6.7,5.8,,3.4,5.6,5.0
,A25,,24,Volleyball,International competition,5,5,4,5,3,5,2,5,6,5,6,6,3,7,4,5,6,7,7,5,6,6,6,7,5,6,7,6,7,6,7,6,7,6,6,6,3,6,5,5,6,5,7,7,7,7,4,7,,4.3,5.2,5.8,6.4,6.5,5.3,,5.6,6.0,7.0,6.3,,4.3,4.8,5.5
,A26,,29,Volleyball,International competition, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A27,,23,Volleyball,International competition,6,6,5,4,6,4,3,4,4,5,6,6,2,6,7,6,5,5,6,6,6,6,6,6,6,6,5,4,6,6,6,5,5,4,5,6,5,6,6,6,7,7,7,7,5,7,6,6,,4.8,4.6,6.2,5.4,5.0,5.5,,6.6,5.8,6.3,6.3,,5.1,5.6,5.7
